time,pathway,system_stress,option_value,effective_performance,trigger_hit,switched,pathway_switches
1,baseline_path,0.302659,0.81156,0.695108,False,False,0
2,baseline_path,0.305646,0.80312,0.694501,False,False,0
3,baseline_path,0.30847,0.79468,0.693443,False,False,0
4,baseline_path,0.315893,0.78624,0.691784,False,False,0
5,baseline_path,0.317824,0.7778,0.691363,False,False,0
6,baseline_path,0.324247,0.76936,0.689925,False,False,0
7,baseline_path,0.334913,0.76092,0.687089,False,False,0
8,baseline_path,0.33163,0.75248,0.68773,False,False,0
9,baseline_path,0.338193,0.74404,0.686461,False,False,0
10,baseline_path,0.34271,0.7356,0.685106,False,False,0
11,baseline_path,0.352128,0.72716,0.682536,False,False,0
12,baseline_path,0.353105,0.71872,0.682602,False,False,0
13,baseline_path,0.365939,0.71028,0.679277,False,False,0
14,baseline_path,0.373805,0.70184,0.677389,False,False,0
15,baseline_path,0.385728,0.6934,0.67419,False,False,0
16,baseline_path,0.395511,0.68496,0.67168,False,False,0
17,baseline_path,0.381611,0.67652,0.6753,False,False,0
18,baseline_path,0.376552,0.66808,0.676802,False,False,0
19,baseline_path,0.387295,0.65964,0.673781,False,False,0
20,baseline_path,0.399869,0.6512,0.670672,False,False,0
21,baseline_path,0.403106,0.64276,0.669976,False,False,0
22,baseline_path,0.408351,0.63432,0.668843,False,False,0
23,baseline_path,0.418835,0.62588,0.666147,False,False,0
24,baseline_path,0.429434,0.61744,0.663518,False,False,0
25,baseline_path,0.427264,0.609,0.663869,False,False,0
26,baseline_path,0.426665,0.60056,0.664214,False,False,0
27,baseline_path,0.428263,0.59212,0.664108,False,False,0
28,baseline_path,0.424171,0.58368,0.664582,False,False,0
29,baseline_path,0.435955,0.57524,0.662039,False,False,0
30,baseline_path,0.445112,0.5668,0.659656,False,False,0
31,baseline_path,0.463476,0.55836,0.654916,False,False,0
32,baseline_path,0.453346,0.54992,0.657378,False,False,0
33,baseline_path,0.466975,0.54148,0.653825,False,False,0
34,baseline_path,0.47141,0.53304,0.652988,False,False,0
35,baseline_path,0.472354,0.5246,0.652827,False,False,0
36,baseline_path,0.482262,0.51616,0.650606,False,False,0
37,baseline_path,0.492562,0.50772,0.647562,False,False,0
38,baseline_path,0.491044,0.49928,0.647906,False,False,0
39,baseline_path,0.504667,0.49084,0.644543,False,False,0
40,baseline_path,0.508064,0.4824,0.643904,False,False,0
