"probability_bin","n_cases","average_probability","observed_frequency","calibration_gap","absolute_calibration_gap","average_brier_score","weighted_calibration_error"
"[0,0.1)",22,0.0473143248945393,0.0909090909090909,-0.0435947660145516,0.0435947660145516,0.0906652303389173,0.00106564983591126
"[0.1,0.2)",54,0.159343518725246,0.148148148148148,0.0111953705770984,0.0111953705770984,0.125572069888139,0.000671722234625901
"[0.2,0.3)",102,0.252306192681935,0.264705882352941,-0.0123996896710059,0.0123996896710059,0.192436025079059,0.001405298162714
"[0.3,0.4)",113,0.348332583851834,0.194690265486726,0.153642318365108,0.153642318365108,0.181199541928328,0.0192906466391747
"[0.4,0.5)",109,0.45069874436035,0.458715596330275,-0.00801685196992497,0.00801685196992497,0.251679874154969,0.000970929849690913
"[0.5,0.6)",106,0.553568851999539,0.462264150943396,0.0913047010561424,0.0913047010561424,0.255578236676254,0.0107536647910568
"[0.6,0.7)",99,0.651760557066216,0.656565656565657,-0.00480509949944075,0.00480509949944075,0.227972356003286,0.000528560944938482
"[0.7,0.8)",108,0.747951905140498,0.722222222222222,0.0257296829182759,0.0257296829182759,0.201238320818339,0.00308756195019311
"[0.8,0.9)",108,0.844071531176878,0.796296296296296,0.0477752348805817,0.0477752348805817,0.167112972257639,0.0057330281856698
"[0.9,1]",79,0.951444572360159,0.759493670886076,0.191950901474083,0.191950901474083,0.21494084908018,0.0168490235738362
