"strategy","time","strategy_value_index","growth_rate","regime_shift","structural_shock"
"Aggressive Commitment",1,106.653958488469,6.65395848846928,-2.5,6.73497982800406
"Aggressive Commitment",2,113.22427131354,6.1604022187143,1,2.78459546182858
"Aggressive Commitment",3,119.762132239841,5.77425745421369,1,2.55290781175532
"Aggressive Commitment",4,130.159892597,8.68201005000158,-2.5,8.88106434105898
"Aggressive Commitment",5,123.777578268124,-4.90344160672969,-2.5,-4.77898333463113
"Aggressive Commitment",6,126.382429019153,2.10446091083339,1,-1.22667057399643
"Aggressive Commitment",7,132.911326451649,5.1659850844507,-1,3.87988139819809
"Aggressive Commitment",8,124.537347941202,-6.30042505331018,2,-10.7380544857323
"Aggressive Commitment",9,127.926050399929,2.72103309950553,1,-0.711474049470904
"Aggressive Commitment",10,134.709324116208,5.30249600849342,-2.5,5.34456867635944
"Aggressive Commitment",11,136.846831204648,1.58675511325104,1,-1.73410382821365
"Aggressive Commitment",12,141.300884317646,3.25477256125683,-1,2.02442836125759
"Aggressive Commitment",13,156.389314608812,10.6782277860672,-1,9.30932469824259
"Aggressive Commitment",14,155.830006456785,-0.357638342124756,0,-2.67927605179173
"Aggressive Commitment",15,151.94596192356,-2.49248820656495,0,-4.74394522374546
"Aggressive Commitment",16,137.681318368842,-9.38797146968188,-1,-10.6225136597652
"Aggressive Commitment",17,133.507708558537,-3.03135520472349,-1,-4.4136600390139
"Aggressive Commitment",18,130.772019394471,-2.04908704793374,-1,-3.19750123913693
"Aggressive Commitment",19,112.62179461581,-13.8792876814958,-1,-15.368788184505
"Aggressive Commitment",20,112.049125624573,-0.50848860399656,-1,-1.89836329149872
"Aggressive Commitment",21,109.683300256007,-2.11141796544896,-1,-3.44004527092216
"Aggressive Commitment",22,112.501945596899,2.5698035474072,-2.5,2.82875694515619
"Aggressive Commitment",23,118.812155046886,5.60897806389642,-1,4.31814799299382
"Aggressive Commitment",24,107.180558485225,-9.78990454055011,1,-13.1695963658729
"Aggressive Commitment",25,109.713926287701,2.36364489817868,1,-0.994010613822687
"Aggressive Commitment",26,120.038367448793,9.41032876174593,1,6.15884204008778
"Aggressive Commitment",27,121.400349327818,1.13462212788455,-2.5,1.15433878789238
"Aggressive Commitment",28,128.014075147994,5.4478639120854,-1,4.05120570047884
"Aggressive Commitment",29,123.203315225437,-3.75799295272478,0,-6.17449731549979
"Aggressive Commitment",30,123.195250910001,-0.00654553444567846,2,-4.19550277419831
"Aggressive Commitment",31,122.315145167229,-0.714399082976099,-1,-2.00773438502912
"Aggressive Commitment",32,122.704745098932,0.318521415455083,2,-3.89741570860259
"Aggressive Commitment",33,123.039035022177,0.27243438953881,-2.5,0.558402917621404
"Aggressive Commitment",34,125.018686264438,1.60896193789502,0,-0.531944765171994
"Aggressive Commitment",35,125.398645202375,0.303921717057315,-1,-0.980020546828086
"Aggressive Commitment",36,133.590571875579,6.53270747860454,0,4.1067238457131
"Aggressive Commitment",37,139.692218425544,4.56742303315202,-2.5,4.80572755708477
"Aggressive Commitment",38,149.863446128769,7.28116985889669,-1,6.120886008116
"Aggressive Commitment",39,158.237650606507,5.58788997187637,0,3.45904775123936
"Aggressive Commitment",40,162.60067993331,2.75726371699805,0,0.351923234261109
"Balanced Adaptive Strategy",1,104.855609801208,4.85560980120845,2,0.115841423051282
"Balanced Adaptive Strategy",2,113.830492576481,8.55927765075054,1,4.99090113451642
"Balanced Adaptive Strategy",3,118.936170375767,4.48533401175914,1,1.03946024009538
"Balanced Adaptive Strategy",4,125.81657419129,5.78495489957768,2,0.508121193154044
"Balanced Adaptive Strategy",5,128.195185457155,1.89053889056631,1,-2.55888528484888
"Balanced Adaptive Strategy",6,131.982337114569,2.9542074017119,2,-1.36138625285734
"Balanced Adaptive Strategy",7,133.306411501306,1.00322089734514,1,-2.69590659274693
"Balanced Adaptive Strategy",8,135.097731240269,1.3437611280571,2,-3.67771382421224
"Balanced Adaptive Strategy",9,139.284302942451,3.09892080625435,0,0.417463048099628
"Balanced Adaptive Strategy",10,141.450059812755,1.55491812397497,1,-2.6909256641869
"Balanced Adaptive Strategy",11,143.406268019897,1.38296739480399,1,-2.38593762689329
"Balanced Adaptive Strategy",12,146.052506708876,1.84527407728933,2,-3.30681946597196
"Balanced Adaptive Strategy",13,145.185774332397,-0.593438891265594,-1,-3.12833993814891
