time,system_state,intervention_signal,resilience_capacity,delayed_intervention,pressure,correction,resilience_gain,disturbance,threshold_breach
1,56.60591,10.25,17.3,10.0,3.85,1.2,0.9,-0.14409,False
2,58.33042,10.419705,16.577882,10.0,3.962414,1.2,0.865,-0.172904,False
3,60.273339,10.503184,15.828062,10.0,4.083129,1.2,0.828894,-0.111316,False
4,63.173054,10.489517,15.042722,10.25,4.219134,1.23,0.791403,0.701984,False
5,65.465078,10.330864,14.198842,10.419705,4.422114,1.250365,0.752136,-0.127588,False
6,66.579956,10.05761,13.302775,10.503184,4.582555,1.260382,0.709942,-1.497353,False
7,69.648991,9.728612,12.37348,10.489517,4.660597,1.258742,0.665139,0.332318,False
8,72.398705,9.246163,11.369645,10.330864,4.875429,1.239704,0.618674,-0.267337,True
9,75.47426,8.626227,10.291517,10.05761,5.067909,1.206913,0.568482,-0.216959,True
10,79.191334,7.852514,9.127081,9.728612,5.283198,1.167433,0.514576,0.115885,True
11,83.401132,6.892948,7.857355,9.246163,5.543393,1.10954,0.456354,0.232298,True
12,88.974755,5.722891,6.46505,8.626227,5.838079,1.035147,0.392868,1.163559,True
13,94.59407,4.274153,4.914471,7.852514,6.228233,0.942302,0.323253,0.656637,True
14,100.253284,2.54445,3.193555,6.892948,6.621585,0.827154,0.245724,0.110507,True
15,105.686268,0.531786,1.290268,5.722891,7.01773,0.686747,0.159678,-0.738322,True
16,111.492233,0.0,0.0,4.274153,7.398039,0.512898,0.064513,-1.014662,True
17,119.237697,0.0,0.0,2.54445,7.804456,0.305334,0.0,0.246342,True
18,128.831602,0.0,0.0,0.531786,8.346639,0.063814,0.0,1.311081,True
19,137.891472,0.0,0.0,0.0,9.018212,0.0,0.0,0.041657,True
20,147.437551,0.0,0.0,0.0,9.652403,0.0,0.0,-0.106323,True
21,158.289956,0.0,0.0,0.0,10.320629,0.0,0.0,0.531776,True
22,167.916708,0.0,0.0,0.0,11.080297,0.0,0.0,-1.453545,True
23,179.3586,0.0,0.0,0.0,11.75417,0.0,0.0,-0.312277,True
24,192.404064,0.0,0.0,0.0,12.555102,0.0,0.0,0.490363,True
25,206.745753,0.0,0.0,0.0,13.468285,0.0,0.0,0.873404,True
26,220.977326,0.0,0.0,0.0,14.472203,0.0,0.0,-0.24063,True
27,236.822339,0.0,0.0,0.0,15.468413,0.0,0.0,0.3766,True
28,253.648116,0.0,0.0,0.0,16.577564,0.0,0.0,0.248213,True
29,272.185811,0.0,0.0,0.0,17.755368,0.0,0.0,0.782327,True
30,290.125596,0.0,0.0,0.0,19.053007,0.0,0.0,-1.113222,True
31,311.002638,0.0,0.0,0.0,20.308792,0.0,0.0,0.568251,True
32,331.258302,0.0,0.0,0.0,21.770185,0.0,0.0,-1.51452,True
33,351.826438,0.0,0.0,0.0,23.188081,0.0,0.0,-2.619945,True
34,375.847398,0.0,0.0,0.0,24.627851,0.0,0.0,-0.606891,True
35,401.240906,0.0,0.0,0.0,26.309318,0.0,0.0,-0.91581,True
36,430.203782,0.0,0.0,0.0,28.086863,0.0,0.0,0.876012,True
37,460.982312,0.0,0.0,0.0,30.114265,0.0,0.0,0.664266,True
38,492.031999,0.0,0.0,0.0,32.268762,0.0,0.0,-1.219075,True
39,527.321601,0.0,0.0,0.0,34.44224,0.0,0.0,0.847361,True
40,563.23191,0.0,0.0,0.0,36.912512,0.0,0.0,-1.002203,True
41,602.5719,0.0,0.0,0.0,39.426234,0.0,0.0,-0.086244,True
42,644.458033,0.0,0.0,0.0,42.180033,0.0,0.0,-0.2939,True
43,689.684515,0.0,0.0,0.0,45.112062,0.0,0.0,0.11442,True
44,738.781067,0.0,0.0,0.0,48.277916,0.0,0.0,0.818636,True
45,791.134156,0.0,0.0,0.0,51.714675,0.0,0.0,0.638414,True
46,846.863432,0.0,0.0,0.0,55.379391,0.0,0.0,0.349885,True
47,906.79382,0.0,0.0,0.0,59.28044,0.0,0.0,0.649948,True
48,970.74788,0.0,0.0,0.0,63.475567,0.0,0.0,0.478492,True
49,1038.073246,0.0,0.0,0.0,67.952352,0.0,0.0,-0.626985,True
50,1110.021002,0.0,0.0,0.0,72.665127,0.0,0.0,-0.717371,True
51,1187.252504,0.0,0.0,0.0,77.70147,0.0,0.0,-0.469968,True
52,1270.859506,0.0,0.0,0.0,83.107675,0.0,0.0,0.499326,True
53,1359.569555,0.0,0.0,0.0,88.960165,0.0,0.0,-0.250116,True
54,1457.075178,0.0,0.0,0.0,95.169869,0.0,0.0,2.335754,True
55,1558.251148,0.0,0.0,0.0,101.995262,0.0,0.0,-0.819293,True
56,1666.229854,0.0,0.0,0.0,109.07758,0.0,0.0,-1.098875,True
57,1783.634417,0.0,0.0,0.0,116.63609,0.0,0.0,0.768474,True
58,1909.910677,0.0,0.0,0.0,124.854409,0.0,0.0,1.42185,True
59,2044.110117,0.0,0.0,0.0,133.693747,0.0,0.0,0.505693,True
60,2188.033642,0.0,0.0,0.0,143.087708,0.0,0.0,0.835817,True
