asset,time,condition,hazard_event,hazard_intensity,maintenance_level,adaptation_capacity,service_reliability,risk_index,review_required
Aging Bridge Corridor,1,74.481617,False,0.006253,4.9,11.84,0.881185,0.481074,False
Aging Bridge Corridor,2,74.512422,False,0.169175,4.8,11.84,0.856752,0.48095,False
Aging Bridge Corridor,3,74.958454,False,0.021735,4.7,11.84,0.881944,0.479166,False
Aging Bridge Corridor,4,75.162895,False,0.126339,4.6,11.84,0.867456,0.478348,False
Aging Bridge Corridor,5,75.338869,True,0.35907,4.5,11.84,0.833411,0.477645,False
Aging Bridge Corridor,6,75.809062,False,0.147316,4.4,11.84,0.868485,0.475764,False
Aging Bridge Corridor,7,75.952916,False,0.001625,4.3,11.84,0.891448,0.475188,False
Aging Bridge Corridor,8,76.625801,False,0.03887,4.2,11.84,0.890191,0.472497,False
Aging Bridge Corridor,9,76.674111,False,0.084149,4.1,11.84,0.883658,0.472304,False
Aging Bridge Corridor,10,76.661408,False,0.150932,4.0,11.84,0.873478,0.472354,False
Aging Bridge Corridor,11,77.448996,False,0.182433,4.0,11.84,0.873835,0.469204,False
Aging Bridge Corridor,12,77.682244,False,0.13801,4.0,11.84,0.882067,0.468271,False
Aging Bridge Corridor,13,77.460669,False,0.15463,4.0,11.84,0.878114,0.469157,False
Aging Bridge Corridor,14,77.953745,False,0.011456,4.0,11.84,0.902967,0.467185,False
Aging Bridge Corridor,15,77.886681,False,0.072347,4.0,11.84,0.893325,0.467453,False
Aging Bridge Corridor,16,77.515541,True,0.422379,4.0,11.84,0.837987,0.468938,False
Aging Bridge Corridor,17,77.759943,False,0.091208,4.0,11.84,0.889649,0.46796,False
Aging Bridge Corridor,18,77.554019,False,0.234164,4.0,11.84,0.866696,0.468784,False
Aging Bridge Corridor,19,77.358729,False,0.152283,4.0,11.84,0.877807,0.469565,False
Aging Bridge Corridor,20,77.031506,False,0.094864,4.0,11.84,0.884361,0.470874,False
Aging Bridge Corridor,21,77.485034,False,0.16,4.0,11.84,0.877461,0.46906,False
Aging Bridge Corridor,22,77.633353,False,0.194,4.0,11.84,0.873284,0.468467,False
Aging Bridge Corridor,23,77.924274,False,0.008025,4.0,11.84,0.903294,0.467303,False
Aging Bridge Corridor,24,77.649313,False,0.235727,4.0,11.84,0.867079,0.468403,False
Aging Bridge Corridor,25,77.935257,False,0.078669,4.0,11.84,0.892684,0.467259,False
Aging Bridge Corridor,26,78.261912,False,0.114713,4.0,11.84,0.889358,0.465952,False
Aging Bridge Corridor,27,78.615341,False,0.061657,4.0,11.84,0.899677,0.464539,False
Aging Bridge Corridor,28,78.658146,False,0.224456,4.0,11.84,0.87534,0.464367,False
Aging Bridge Corridor,29,78.444108,False,0.05483,4.0,11.84,0.899596,0.465224,False
Aging Bridge Corridor,30,78.389582,True,0.237693,4.0,11.84,0.871593,0.465442,False
Aging Bridge Corridor,31,77.729291,True,0.701957,4.0,11.84,0.797105,0.468083,False
Aging Bridge Corridor,32,77.673864,True,0.505295,4.0,11.84,0.826479,0.468305,False
Aging Bridge Corridor,33,77.145511,False,0.132279,4.0,11.84,0.879445,0.470418,False
Aging Bridge Corridor,34,76.591713,True,0.776577,4.0,11.84,0.778428,0.472633,False
Aging Bridge Corridor,35,76.692408,False,0.134243,4.0,11.84,0.876203,0.47223,False
Aging Bridge Corridor,36,75.859253,True,0.547812,4.0,11.84,0.808256,0.475563,False
Aging Bridge Corridor,37,75.631583,False,0.238454,4.0,11.84,0.853551,0.476474,False
Aging Bridge Corridor,38,75.951917,False,0.044663,4.0,11.84,0.884934,0.475192,False
Aging Bridge Corridor,39,76.042584,False,0.21763,4.0,11.84,0.859371,0.47483,False
Aging Bridge Corridor,40,75.796606,False,0.03821,4.0,11.84,0.884901,0.475814,False
Aging Bridge Corridor,41,75.785336,False,0.134845,4.0,11.84,0.870216,0.475859,False
Aging Bridge Corridor,42,75.840814,True,0.459325,4.0,11.84,0.821515,0.475637,False
Aging Bridge Corridor,43,74.583608,True,0.943279,4.0,11.84,0.74017,0.480666,False
Aging Bridge Corridor,44,75.163626,False,0.014481,4.0,11.84,0.884374,0.478345,False
Aging Bridge Corridor,45,74.807442,False,0.236737,4.0,11.84,0.848454,0.47977,False
Aging Bridge Corridor,46,73.93297,True,0.808482,4.0,11.84,0.756322,0.483268,False
Aging Bridge Corridor,47,74.476802,False,0.032098,4.0,11.84,0.877246,0.481093,False
Aging Bridge Corridor,48,74.379967,False,0.218108,4.0,11.84,0.848492,0.48148,False
Aging Bridge Corridor,49,74.996776,False,0.05295,4.0,11.84,0.877473,0.479013,False
Aging Bridge Corridor,50,75.233645,False,0.077929,4.0,11.84,0.875236,0.478065,False
Water Distribution Network,1,68.654355,False,0.16247,4.9,12.96,0.831933,0.491383,False
Water Distribution Network,2,68.580333,True,0.379758,4.8,12.96,0.796251,0.491679,False
Water Distribution Network,3,68.831216,False,0.147077,4.7,12.96,0.835576,0.490675,False
Water Distribution Network,4,68.287171,True,0.704882,4.6,12.96,0.741676,0.492851,False
Water Distribution Network,5,68.350545,False,0.226355,4.5,12.96,0.819609,0.492598,False
Water Distribution Network,6,68.608532,False,0.167244,4.4,12.96,0.830862,0.491566,False
Water Distribution Network,7,68.530079,False,0.033078,4.3,12.96,0.852087,0.49188,False
Water Distribution Network,8,68.764951,False,0.196155,4.2,12.96,0.827195,0.49094,False
Water Distribution Network,9,68.710728,False,0.047602,4.1,12.96,0.850908,0.491157,False
Water Distribution Network,10,68.634364,False,0.116756,4.0,12.96,0.839209,0.491463,False
Water Distribution Network,11,68.521531,False,0.168341,4.0,12.96,0.830119,0.491914,False
Water Distribution Network,12,68.645337,False,0.084826,4.0,12.96,0.844453,0.491419,False
