trial,strategy,realized_value,best_trial_value,regret,review_trigger
1,Immediate Action,-35.0,151.0,186.0,True
1,Staged Learning,151.0,151.0,0.0,False
1,Delay Without Learning,95.0,151.0,56.0,False
1,Conservative Baseline,73.0,151.0,78.0,False
2,Immediate Action,125.0,125.0,0.0,True
2,Staged Learning,-14.0,125.0,139.0,True
2,Delay Without Learning,95.0,125.0,30.0,False
2,Conservative Baseline,73.0,125.0,52.0,False
3,Immediate Action,125.0,151.0,26.0,True
3,Staged Learning,151.0,151.0,0.0,False
3,Delay Without Learning,20.0,151.0,131.0,True
3,Conservative Baseline,73.0,151.0,78.0,False
4,Immediate Action,125.0,151.0,26.0,True
4,Staged Learning,151.0,151.0,0.0,False
4,Delay Without Learning,95.0,151.0,56.0,False
4,Conservative Baseline,73.0,151.0,78.0,False
5,Immediate Action,-35.0,95.0,130.0,True
5,Staged Learning,-14.0,95.0,109.0,True
5,Delay Without Learning,95.0,95.0,0.0,False
5,Conservative Baseline,73.0,95.0,22.0,False
6,Immediate Action,-35.0,95.0,130.0,True
6,Staged Learning,-14.0,95.0,109.0,True
6,Delay Without Learning,95.0,95.0,0.0,False
6,Conservative Baseline,73.0,95.0,22.0,False
7,Immediate Action,-35.0,151.0,186.0,True
7,Staged Learning,151.0,151.0,0.0,False
7,Delay Without Learning,95.0,151.0,56.0,False
7,Conservative Baseline,73.0,151.0,78.0,False
8,Immediate Action,125.0,151.0,26.0,True
8,Staged Learning,151.0,151.0,0.0,False
8,Delay Without Learning,95.0,151.0,56.0,False
8,Conservative Baseline,73.0,151.0,78.0,False
9,Immediate Action,125.0,151.0,26.0,True
9,Staged Learning,151.0,151.0,0.0,False
9,Delay Without Learning,95.0,151.0,56.0,False
9,Conservative Baseline,73.0,151.0,78.0,False
10,Immediate Action,125.0,151.0,26.0,True
10,Staged Learning,151.0,151.0,0.0,False
10,Delay Without Learning,95.0,151.0,56.0,False
10,Conservative Baseline,73.0,151.0,78.0,False
11,Immediate Action,125.0,151.0,26.0,True
11,Staged Learning,151.0,151.0,0.0,False
11,Delay Without Learning,20.0,151.0,131.0,True
11,Conservative Baseline,73.0,151.0,78.0,False
12,Immediate Action,125.0,125.0,0.0,True
12,Staged Learning,-14.0,125.0,139.0,True
12,Delay Without Learning,20.0,125.0,105.0,True
12,Conservative Baseline,73.0,125.0,52.0,False
13,Immediate Action,125.0,125.0,0.0,True
13,Staged Learning,-14.0,125.0,139.0,True
13,Delay Without Learning,95.0,125.0,30.0,False
13,Conservative Baseline,73.0,125.0,52.0,False
14,Immediate Action,125.0,125.0,0.0,True
14,Staged Learning,-14.0,125.0,139.0,True
14,Delay Without Learning,95.0,125.0,30.0,False
14,Conservative Baseline,73.0,125.0,52.0,False
15,Immediate Action,-35.0,151.0,186.0,True
15,Staged Learning,151.0,151.0,0.0,False
15,Delay Without Learning,20.0,151.0,131.0,True
15,Conservative Baseline,73.0,151.0,78.0,False
16,Immediate Action,125.0,151.0,26.0,True
16,Staged Learning,151.0,151.0,0.0,False
16,Delay Without Learning,95.0,151.0,56.0,False
16,Conservative Baseline,73.0,151.0,78.0,False
17,Immediate Action,125.0,125.0,0.0,True
17,Staged Learning,-14.0,125.0,139.0,True
17,Delay Without Learning,95.0,125.0,30.0,False
17,Conservative Baseline,73.0,125.0,52.0,False
18,Immediate Action,-35.0,73.0,108.0,True
18,Staged Learning,-14.0,73.0,87.0,True
18,Delay Without Learning,20.0,73.0,53.0,True
18,Conservative Baseline,73.0,73.0,0.0,False
19,Immediate Action,-35.0,151.0,186.0,True
19,Staged Learning,151.0,151.0,0.0,False
19,Delay Without Learning,95.0,151.0,56.0,False
19,Conservative Baseline,73.0,151.0,78.0,False
20,Immediate Action,125.0,151.0,26.0,True
20,Staged Learning,151.0,151.0,0.0,False
20,Delay Without Learning,95.0,151.0,56.0,False
20,Conservative Baseline,73.0,151.0,78.0,False
21,Immediate Action,-35.0,151.0,186.0,True
21,Staged Learning,151.0,151.0,0.0,False
21,Delay Without Learning,95.0,151.0,56.0,False
21,Conservative Baseline,73.0,151.0,78.0,False
22,Immediate Action,-35.0,151.0,186.0,True
22,Staged Learning,151.0,151.0,0.0,False
22,Delay Without Learning,95.0,151.0,56.0,False
22,Conservative Baseline,58.0,151.0,93.0,True
23,Immediate Action,125.0,125.0,0.0,True
23,Staged Learning,-14.0,125.0,139.0,True
23,Delay Without Learning,20.0,125.0,105.0,True
23,Conservative Baseline,73.0,125.0,52.0,False
24,Immediate Action,125.0,125.0,0.0,True
24,Staged Learning,-14.0,125.0,139.0,True
