"forecast_id","domain","base_rate","signal_strength","forecast_horizon_days","forecast_cost","false_positive_cost","false_negative_cost","true_probability","forecast_probability","outcome","brier_score","log_loss","probability_bin","decision_threshold","forecast_supported_action","base_rate_action","expected_loss_with_forecast","expected_loss_without_forecast","forecast_value_proxy"
1,"Public Policy",0.488884991209488,0.0761336102383211,7,3.86280248593539,26.5353383624461,61.3097936427221,0.565610258088492,0.454259083176067,1,0.297833148295827,0.789087575921036,"[0.4,0.5)",0.302069537113165,TRUE,TRUE,14.4814198861546,13.5626097003808,-4.78161267170916
2,"AI Governance",0.431818385096267,-0.132173909328412,7,11.465514740441,6.96356993401423,24.6636215201579,0.300746212537649,0.263015411855455,1,0.543146283162584,1.33554264831044,"[0.2,0.3)",0.22017667753093,TRUE,TRUE,5.13204371983521,3.95657241060329,-12.6409860496729
3,"Public Policy",0.365681754902471,0.0412804340361617,365,9.81827935576439,5.63553035142832,38.90817404259,0.49036774141714,0.52089454286393,1,0.229542039057563,0.652207670646149,"[0.5,0.6)",0.126516876584362,TRUE,TRUE,2.70001334522526,3.57471972271187,-8.94357297827778
4,"Public Policy",0.441215438093059,0.0571634925203398,365,7.8018846125342,28.4638854628429,49.9927985062823,0.547478923853487,0.573026210754538,1,0.182306616702628,0.556823820286461,"[0.5,0.6)",0.362797457435802,TRUE,TRUE,12.1533330327188,15.905179768524,-4.05003787672903
5,"Healthcare",0.176758784172125,0.071610766928643,365,4.28787991357967,7.96295479638502,73.7974369968288,0.234235555608757,0.121054261012796,0,0.0146541341093541,0.129032113592343,"[0.1,0.2)",0.0973937944980097,TRUE,TRUE,6.99900518803033,6.55543258815841,-4.73145251345159
6,"Infrastructure",0.308186632988509,0.178610572125763,365,6.6337702027522,16.3720998167992,58.1440482870676,0.566163054702338,0.506985914602342,1,0.243062888400489,0.6792720576263,"[0.5,0.6)",0.219712105810654,TRUE,TRUE,8.0716758172184,11.326437499308,-3.37900852066255
7,"Healthcare",0.217060276330449,0.0374373183352873,180,6.51040373835713,7.9716310556978,22.248444093857,0.205927370678736,0.116188878464562,0,0.0134998554788527,0.123511902595224,"[0.1,0.2)",0.26378594415293,FALSE,FALSE,2.58502176684674,4.82925342293513,-4.26617208226874
8,"Healthcare",0.386035116075072,-0.0894746299134567,30,5.07321140333079,6.96690465090796,40.9193676686846,0.296522408928435,0.292877241169057,1,0.500022596056684,1.22800172987767,"[0.2,0.3)",0.145488556812502,TRUE,TRUE,4.92645683726217,4.27743480531075,-5.72223343528221
9,"Public Policy",0.577532321156468,-0.0656631746911444,30,5.27919443347491,21.1726545076817,31.6470316448249,0.51036116340204,0.615446214654659,0,0.378774043132749,0.955671615956228,"[0.6,0.7)",0.400847790851119,TRUE,TRUE,8.1420244367381,8.94476220481634,-4.47645666539668
10,"Infrastructure",0.426275777153205,0.180766554886941,30,3.84906232100911,7.40893455920741,52.4290402256884,0.603394698996531,0.603268135612136,1,0.15739617222067,0.505393511750871,"[0.6,0.7)",0.123816599506265,TRUE,TRUE,2.93936042080203,4.25068522210403,-2.53773751970711
