"probability_bin","n_cases","average_forecast_probability","observed_frequency","calibration_gap","absolute_calibration_gap","average_brier_score","weighted_calibration_error"
"[0,0.1)",8,0.0582184209291924,0.25,-0.191781579070808,0.191781579070808,0.218887617459109,0.00170472514729607
"[0.1,0.2)",13,0.167586883109903,0.230769230769231,-0.0631823476593281,0.0631823476593281,0.182911412527107,0.000912633910634739
"[0.2,0.3)",46,0.262286008187469,0.347826086956522,-0.0855400787690526,0.0855400787690526,0.229420066935888,0.00437204847041825
"[0.3,0.4)",95,0.354152708238501,0.305263157894737,0.0488895503437644,0.0488895503437644,0.210724256005695,0.00516056364739735
"[0.4,0.5)",139,0.450908747482989,0.453237410071942,-0.00232866258895387,0.00232866258895387,0.244536541108813,0.000359648999849542
"[0.5,0.6)",143,0.551555300983661,0.629370629370629,-0.0778153283869683,0.0778153283869683,0.236326789464603,0.0123639910659294
"[0.6,0.7)",174,0.649029548702829,0.78735632183908,-0.138326773136252,0.138326773136252,0.183056970167991,0.0267431761396753
"[0.7,0.8)",164,0.741925756545449,0.774390243902439,-0.0324644873569898,0.0324644873569898,0.175304650165526,0.00591575102949592
"[0.8,0.9)",89,0.843725328060321,0.865168539325843,-0.0214432112655217,0.0214432112655217,0.119582340687877,0.00212049533625715
"[0.9,1]",29,0.949568698917604,0.931034482758621,0.0185342161589834,0.0185342161589834,0.0682152688227098,0.000597213631789466
